RefDes     X          Y          Rot.       Exact     (FREE)    Side
C1         5249.1294  8710.2169  180        EXACT     (FREE)    Primary Component Side        
C2         4287.4553  8922.4641  180        EXACT     (FREE)    Primary Component Side        
C3         2751.9960  1793.0176  270        EXACT     (FREE)    Primary Component Side        
C4         2949.9176  1878.8624  000        EXACT     (FREE)    Primary Component Side        
C5         2596.7694  1986.5291  270        EXACT     (FREE)    Primary Component Side        
C6         994.1740   1509.0000  000        EXACT     (FREE)    Primary Component Side        
C7         4158.6051  8734.0000  270        EXACT     (FREE)    Primary Component Side        
C8         2909.0000  2119.0000  270        EXACT     (FREE)    Primary Component Side        
C9         4281.5646  6509.8638  090        EXACT     (FREE)    Primary Component Side        
C10        1260.3765  1655.4505  270        EXACT     (FREE)    Primary Component Side        
C11        859.0609   1656.9564  270        EXACT     (FREE)    Primary Component Side        
C12        1256.6118  1877.5670  090        EXACT     (FREE)    Primary Component Side        
C13        5960.6998  5370.0000  180        EXACT     (FREE)    Primary Component Side        
C14        4225.0000  5169.3295  180        EXACT     (FREE)    Secondary Component Side      
C15        4229.6794  5259.8351  180        EXACT     (FREE)    Secondary Component Side      
C16        4272.6406  4906.6312  090        EXACT     (FREE)    Secondary Component Side      
C17        4633.4076  4895.5792  090        EXACT     (FREE)    Secondary Component Side      
C18        4231.1428  5531.4671  180        EXACT     (FREE)    Secondary Component Side      
C19        4217.4604  5637.2411  180        EXACT     (FREE)    Secondary Component Side      
C20        4486.3398  5778.3346  270        EXACT     (FREE)    Secondary Component Side      
C21        4767.5372  5786.9798  270        EXACT     (FREE)    Secondary Component Side      
C22        5161.7560  5835.6695  270        EXACT     (FREE)    Secondary Component Side      
C23        5061.0209  5371.9815  000        EXACT     (FREE)    Secondary Component Side      
C24        5045.5542  5191.9606  000        EXACT     (FREE)    Secondary Component Side      
C25        4513.3012  4899.1087  090        EXACT     (FREE)    Secondary Component Side      
C26        5060.5659  5552.6214  000        EXACT     (FREE)    Secondary Component Side      
C27        4170.7178  4906.6312  090        EXACT     (FREE)    Secondary Component Side      
C28        5076.4194  5007.3007  000        EXACT     (FREE)    Secondary Component Side      
C29        4984.8667  4857.4390  090        EXACT     (FREE)    Secondary Component Side      
C30        5046.2754  5281.3865  000        EXACT     (FREE)    Secondary Component Side      
C31        5075.9644  5101.4883  000        EXACT     (FREE)    Secondary Component Side      
C32        5061.0209  5462.0739  000        EXACT     (FREE)    Secondary Component Side      
C33        5060.9991  5642.1387  000        EXACT     (FREE)    Secondary Component Side      
C34        5052.5531  5831.1194  270        EXACT     (FREE)    Secondary Component Side      
C35        4225.0000  5079.3190  180        EXACT     (FREE)    Secondary Component Side      
C36        4231.0872  5350.6319  180        EXACT     (FREE)    Secondary Component Side      
C37        4230.2328  5441.3746  180        EXACT     (FREE)    Secondary Component Side      
C38        4216.7460  5729.3947  180        EXACT     (FREE)    Secondary Component Side      
C39        3536.5025  5714.2215  000        EXACT     (FREE)    Primary Component Side        
C40        4677.4449  5786.9798  270        EXACT     (FREE)    Secondary Component Side      
C41        2277.0000  978.0000   090        EXACT     (FREE)    Primary Component Side        
C42        6029.0000  4161.0000  180        EXACT     (FREE)    Primary Component Side        
C43        2535.9428  2259.1481  180        EXACT     (FREE)    Primary Component Side        
C44        2537.1249  2467.1997  000        EXACT     (FREE)    Primary Component Side        
C45        2537.7319  2565.7527  000        EXACT     (FREE)    Primary Component Side        
C46        4189.7062  6509.1109  090        EXACT     (FREE)    Primary Component Side        
C47        4879.4401  4858.5606  090        EXACT     (FREE)    Secondary Component Side      
C48        3537.2169  5811.3757  000        EXACT     (FREE)    Primary Component Side        
C49        6101.6945  5168.1458  270        EXACT     (FREE)    Primary Component Side        
C50        4395.7924  5779.2446  270        EXACT     (FREE)    Secondary Component Side      
C51        3025.0000  271.0000   180        EXACT     (FREE)    Primary Component Side        
C52        4056.2500  6618.7500  270        EXACT     (FREE)    Primary Component Side        
C53        2895.0000  690.0000   270        EXACT     (FREE)    Primary Component Side        
C54        1362.5000  418.7500   270        EXACT     (FREE)    Primary Component Side        
C55        4249.0000  305.0000   000        EXACT     (FREE)    Primary Component Side        
C56        1587.5000  2031.2500  000        EXACT     (FREE)    Primary Component Side        
C57        5486.1527  566.6160   090        EXACT     (FREE)    Primary Component Side        
C58        3756.0000  277.0000   000        EXACT     (FREE)    Primary Component Side        
C59        3162.5000  2177.1654  090        EXACT     (FREE)    Primary Component Side        
C60        575.0000   487.5000   270        EXACT     (FREE)    Primary Component Side        
C61        800.0000   487.5000   090        EXACT     (FREE)    Primary Component Side        
C62        1025.0000  481.2500   270        EXACT     (FREE)    Primary Component Side        
C63        4770.0000  303.0000   000        EXACT     (FREE)    Primary Component Side        
C64        4511.0000  305.0000   000        EXACT     (FREE)    Primary Component Side        
C65        5024.0000  300.0000   000        EXACT     (FREE)    Primary Component Side        
C66        2900.0000  1562.5000  270        EXACT     (FREE)    Primary Component Side        
C67        3075.0000  1562.5000  270        EXACT     (FREE)    Primary Component Side        
C68        3256.2500  1562.5000  270        EXACT     (FREE)    Primary Component Side        
C69        5590.0000  4326.0000  180        EXACT     (FREE)    Primary Component Side        
C70        6029.0000  3972.0000  180        EXACT     (FREE)    Primary Component Side        
C102       1769.9892  1822.0511  270        EXACT     (FREE)    Primary Component Side        
C103       1764.1344  2031.6517  090        EXACT     (FREE)    Primary Component Side        
D1         1344.0000  699.0000   180        EXACT     (FREE)    Primary Component Side        
D2         2131.2500  1056.2500  090        EXACT     (FREE)    Primary Component Side        
D3         5763.4051  3336.0757  270        EXACT     (FREE)    Primary Component Side        
D4         5804.0000  3818.0000  000        EXACT     (FREE)    Primary Component Side        
D5         3612.5000  2793.7500  180        EXACT     (FREE)    Primary Component Side        
D6         1443.7500  962.5000   270        EXACT     (FREE)    Primary Component Side        
D7         1212.5000  343.7500   270        EXACT     (FREE)    Primary Component Side        
J1         662.5000   3600.0000  000        EXACT     (FREE)    Primary Component Side        
J2         256.2500   6543.7500  000        EXACT     (FREE)    Primary Component Side        
J3         462.5000   2850.0000  090        EXACT     (FREE)    Primary Component Side        
J5         994.8212   2930.3850  270        EXACT     (FREE)    Primary Component Side        
J6         993.6503   2665.7496  270        EXACT     (FREE)    Primary Component Side        
J7         993.6503   2565.7496  270        EXACT     (FREE)    Primary Component Side        
J8         994.8212   2830.3850  270        EXACT     (FREE)    Primary Component Side        
J9         256.2500   4743.7500  000        EXACT     (FREE)    Primary Component Side        
J10        256.2500   5512.5000  000        EXACT     (FREE)    Primary Component Side        
J11        5768.7500  5606.2500  180        EXACT     (FREE)    Primary Component Side        
J12        256.2500   7925.0000  000        EXACT     (FREE)    Primary Component Side        
J13        5668.7500  5606.2500  180        EXACT     (FREE)    Primary Component Side        
J14        5559.0000  7660.0000  270        EXACT     (FREE)    Primary Component Side        
J16        6078.5000  3518.5000  270        EXACT     (FREE)    Primary Component Side        
J17        6078.5000  8768.5000  270        EXACT     (FREE)    Primary Component Side        
J18        4150.0000  7937.5000  000        EXACT     (FREE)    Primary Component Side        
JP1        1581.2500  2418.7500  090        EXACT     (FREE)    Primary Component Side        
JP2        1356.2500  2418.7500  090        EXACT     (FREE)    Primary Component Side        
JP4        625.0000   1643.7500  180        EXACT     (FREE)    Primary Component Side        
JP5        1958.0587  2807.7595  180        EXACT     (FREE)    Primary Component Side        
JP6        5506.2500  8856.2500  270        EXACT     (FREE)    Primary Component Side        
L1         1803.8957  861.4984   090        EXACT     (FREE)    Primary Component Side        
L2         1731.2500  350.0000   000        EXACT     (FREE)    Primary Component Side        
M2         2787.5000  2700.0000  000        EXACT     (FREE)    Primary Component Side        
R1         5150.0000  8356.2500  000        EXACT     (FREE)    Primary Component Side        
