R.br.	Oznaka	Vrednost	Proizvodjac	Opis	Sifra/oznaka	Footprint	Kolicina
1	US2	"75176,75LBC176"	TI	RS485 bidirectional transceiver	75LBC176	SOG.050/8/WG.244/L.225	1
2	US3	"74HC123_0,74HCT123"				SOG.050/16/WG.244/L.375	1
3	U1	"74HCT123_1,74HCT123"				SOG.050/16/WG.244/L.375	1
4	C4	"CAP0805,0.47uF"	IPC SM-782 STD.	SURFACE MOUNT CAPACITOR 0.048 X 0.079 INCHES		0805	1
5	C45	"CAP0805,100 pF"	IPC SM-782 STD.	SURFACE MOUNT CAPACITOR 0.048 X 0.079 INCHES		0805	1
6	C1 C6-7 C12-13 C18-20 C22-25 C27-28 C33 C35-36 C39-40 C46-47 C49 C56 C103	"CAP0805,100nF"	IPC SM-782 STD.	SURFACE MOUNT CAPACITOR 0.048 X 0.079 INCHES		0805	24
7	C9 C14-17 C21 C26 C29-32 C34 C37-38 C43 C48 C50 C102	"CAP0805,10nF"	IPC SM-782 STD.	SURFACE MOUNT CAPACITOR 0.048 X 0.079 INCHES		0805	18
8	C2	"CAP0805,10pF"	IPC SM-782 STD.	SURFACE MOUNT CAPACITOR 0.048 X 0.079 INCHES		0805	1
9	C10-11	"CAP0805,1u"	IPC SM-782 STD.	SURFACE MOUNT CAPACITOR 0.048 X 0.079 INCHES		0805	2
10	C44	"CAP0805,2200 pF"	IPC SM-782 STD.	SURFACE MOUNT CAPACITOR 0.048 X 0.079 INCHES		0805	1
11	C3 C5	"CAP0805,33pF"	IPC SM-782 STD.	SURFACE MOUNT CAPACITOR 0.048 X 0.079 INCHES		0805	2
12	C8	"CAP1206,18uF"	IPC SM-782 STD.	SURFACE MOUNT CAPACITOR 0.062 X 0.126 INCHES		1206	1
13	C41 C54-55 C63-65	"CAP1210,10uF,20%"	Taiyo Yuden	SURFACE MOUNT CAPACITOR 0.098 X 0.126 INCHES	UMK325C7106MM-T	CAP1210	6
14	C52 C66-68	"CAP7343,100uF"	IPC SM-782 STD.	"SURFACE MOUNT TANT. CAPACITOR, 'D' CASE SIZE"		7343	4
15	C53	"CAPEL_PANASONIC_13.5X13.5,680uF,20%"	PANASONIC	ALUMINUM ELECTROLYTIC CAP.	EEVFK1V681Q	CAPAE1350X1350L	1
16	U12	"CLK_GEN33_PADS,FXO-HC736R-20.00000"	FOX Electronics		FXO-HC736R-20.00000	CLK_GEN33_PADS	1
17	J14	"CONN_FLEX_16/SM,87832-1420"	Molex	JTAG connector SMD-14 for Xilinx USB cable	87832-1420	JTAG_SMD_PADS	1
18	M2	"CSD16403Q5A,CSD16403Q5A"	TI	N-Channel NexFET	CSD16403Q5A	CSD16403Q5A_REV1	1
19	C42 C70	"C_33UF_LESR_CASE_D,33uF"	Kemet	TANTAL_LESR_33uF	T495D336K016ATE200	CASE_D_MILOS	2
20	J16-17	DIN96_ABC/R_PADS_MILOS	Apfel	"Male A+C Angled P2,54 64-Pole"	Schukat F5151 CM64RW	DIN96_ABC/R_PADS_MILOS	2
21	D1	"DIODE_SCHOTTKY_SK86C,SK86C"		Surface Mount Schottky Barrier Rectifie	SK86C	SK86C	1
22	ZD2-3	"DIODE_ZENER_0,DIODE ZENER"				SM/D_1206_21	2
23	D4	"DIODE_ZENER_1,DIODE ZENER_0"				BZV55-C3V3	1
24	U20	"DS1231,DS1231/S"	Dallas Semiconductor	Power Monitor Chip	DS1231/S	DIP8	1
25	U15	"DS1265W,DS1265W"	Maxim Integrated	3.3V 1MB Nonvolatile SRAM	DS1265W	DIP.100/36/W.600/L1.850_PADS_REV1	1
26	UR5-12	"FIDUCIAL_PADS,FIDUCIAL"				FIDUCIAL_R_TOP	8
27	JP6	"HEADER_2,HEADER 2"				JUMPER_100	1
28	J11 J13 J18 JP4	"HEADER_2_PADS_MILOS,HEADER 2/SM"				JUMPER_100_PADS_MILOS	4
